multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio,evidencia_visual
50,GCP332,2023-12-08,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,24.0,,,0.0,False
51,BB 8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0,,,0.0,False
53,HF 58 HXP,1932-01-01,09:04,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,10.0,8.0,,,0.0,False
55,99 998 68,2020-02-09,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,17.0,15.0,,,0.0,False
56,VTII AHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,14.0,12.0,,,0.0,False
57,NTHG LFT,2022-05-26,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,9.0,,,0.0,False
59,FD 1475,2022-01-07,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,17.0,,,0.0,False
60,FVIO UHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,44.0,40.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/28e26a4eb646c67a_patente.jpg,FVIOUHP,1.0,True
61,VY 90 540,2022-11-08,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/288a95c01e43cd14_patente_1.jpg,IVY90540,0.9333,True
63,6NCE831,2022-12-14,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,21.0,18.0,,,0.0,False
64,M43 1ZW,1932-01-01,09:04,86.0,80,RUTA 9,R01,APELADA,6.0,2.0,,,0.0,False
66,NTHG LFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,72.0,68.0,,,0.0,False
68,HK 06 YMX,2020-11-11,14:03,76.0,40,AV SIEMPRE VIVA,,PAGADA,36.0,34.0,,,0.0,False
69,VNK296 GP,2021-05-25,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,35.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/16789af24af158d8.jpg,VNK296GP,1.0,True
71,RFH 373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,32.0,,,0.0,False
72,HK 06 YMX,2021-05-30,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,41.0,,,0.0,False
75,W326 AVE,2021-04-21,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,17.0,15.0,,,0.0,False
77,B 81 JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,43.0,41.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/80e02a518ffe4cb2.jpg,B81IKY,0.8333,True
79,M VU 4688,1932-01-01,08:04,96.0,60,AV SIEMPRE VIVA,R02,ERROR,36.0,33.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/3feecc5809a29627_patente.jpg,MVU4688,1.0,True
81,8B90638,2022-04-10,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,45.0,,,0.0,False
82,57 777 70,2020-02-13,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0,,,0.0,False
90,M VU 4688,2023-09-21,18:04,49.0,40,RUTA 9,,PAGADA,9.0,7.0,,,0.0,False
91,INTIGR8,2023-07-09,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0,,,0.0,False
92,CD 056 01,2023-08-15,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,63.0,61.0,,,0.0,False
93,3646 HBH,2022-04-23,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,10.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/d3729058c6a4186e_patente.jpg,83646HBN,0.8,True
101,RFH 373,2022-12-05,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,59.0,,,0.0,False
102,B 81 JKY,2023-10-10,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,67.0,63.0,,,0.0,False
103,57 777 70,2020-05-19,09:06,91.0,60,AV LIBERTADOR,R03,ERROR,31.0,28.0,,,0.0,False
104,CD 056 01,1932-01-01,18:04,114.0,60,AV LIBERTADOR,,APELADA,54.0,51.0,,,0.0,False
106,WE FLYN,1932-01-01,09:06,77.0,40,RUTA 9,,IMPAGA,37.0,35.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/29f7991e696e6e3f.jpg,2WEVFLYNO,0.8,True
109,DI2 LOT,2021-08-12,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,17.0,14.0,,,0.0,False
114,BX 55 DOG,1932-01-01,18:05,121.0,60,RUTA 9,,ERROR,61.0,58.0,,,0.0,False
127,8B90638,1932-01-01,14:04,116.0,40,AV SIEMPRE VIVA,R01,ERROR,76.0,74.0,,,0.0,False
129,T0Y DR,2022-09-24,00:00,123.0,80,AV SIEMPRE VIVA,R02,PAGADA,43.0,39.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/4cb48c8bf41b70a4_patente.jpg,TAYDR,0.8,True
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,21.0,17.0,,,0.0,False
138,831 MDB,2021-05-09,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,69.0,,,0.0,False
140,M VU 4688,1932-01-01,09:08,110.0,60,AV LIBERTADOR,R03,PAGADA,50.0,47.0,,,0.0,False
141,INTIGR8,2022-04-13,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,48.0,45.0,,,0.0,False
144,HF 58 HXP,1932-01-01,08:06,79.0,40,RUTA 9,R03,ERROR,39.0,37.0,,,0.0,False
146,T0Y DR,2022-07-03,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,41.0,,,0.0,False
147,WE FLYN,2021-12-13,09:08,129.0,60,AV SIEMPRE VIVA,,ERROR,69.0,66.0,,,0.0,False
148,FD 1475,2023-10-07,09:08,106.0,80,AV LIBERTADOR,R03,ERROR,26.0,22.0,,,0.0,False
149,990 XYK,2022-11-25,14:05,109.0,80,AV LIBERTADOR,,APELADA,29.0,25.0,,,0.0,False
150,INTIGR8,2020-01-04,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,37.0,,,0.0,False
155,691 XC 80,2024-01-03,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,32.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/5a122adbb1a776b7_patente.jpg,6691XC80,0.9333,True
161,990 XYK,2020-04-26,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,19.0,,,0.0,False
162,NTHG LFT,2020-06-10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,55.0,,,0.0,False
164,M VU 4688,2020-10-07,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,,,0.0,False
165,GE 1466,2021-09-25,00:00,108.0,40,AV LIBERTADOR,,APELADA,68.0,66.0,,,0.0,False
166,BM -351,2020-02-24,14:05,112.0,80,RUTA 9,,ERROR,32.0,28.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/9995dfc6e0eae5a1_patente.jpg,BM351,1.0,True
170,WE FLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,4.0,,,0.0,False
171,CD 056 01,2023-08-11,00:00,75.0,40,RUTA 9,R03,IMPAGA,35.0,33.0,,,0.0,False
172,810 TCH,2020-02-08,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,68.0,,,0.0,False
176,B 81 JKY,1932-01-01,09:09,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,31.0,28.0,,,0.0,False
178,WU 341 A,2020-11-18,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,7.0,,,0.0,False
183,UM 96 201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,62.0,60.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/09453a7c716a9ef3_patente.jpg,UM96201,1.0,True
184,81-ZF-JD,1932-01-01,00:00,111.0,80,RUTA 9,R03,ERROR,31.0,27.0,,,0.0,False
188,TL03 GOG,2021-08-13,08:08,93.0,40,RUTA 9,,PAGADA,53.0,51.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/fdd963edc28bf163_patente.jpg,TL03GOG,1.0,True
190,VNK296 GP,2020-03-03,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,69.0,,,0.0,False
191,VY 90 540,2022-02-05,08:08,98.0,60,RUTA 9,,IMPAGA,38.0,35.0,,,0.0,False
192,YLO8 WUE,2021-12-18,18:09,140.0,80,AV SIEMPRE VIVA,,ERROR,60.0,56.0,,,0.0,False
193,3646 HBH,2021-04-03,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,75.0,,,0.0,False
197,DK 414 N,2020-05-03,00:00,69.0,40,AV SIEMPRE VIVA,,APELADA,29.0,27.0,,,0.0,False
200,57 777 70,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,22.0,,,0.0,False
202,66 111 72,1932-01-01,18:09,137.0,60,RUTA 9,R03,ERROR,77.0,74.0,,,0.0,False
204,66 111 72,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,9.0,,,0.0,False
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,79.0,75.0,,,0.0,False
208,VNK296 GP,1932-01-01,09:11,79.0,60,AV LIBERTADOR,R02,ERROR,19.0,16.0,,,0.0,False
209,GN64 OTP,1932-01-01,18:09,97.0,60,RUTA 9,,IMPAGA,37.0,34.0,,,0.0,False
211,29 999 61,2022-06-06,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/5ff91ccfc6f15d04_patente.jpg,2999961,1.0,True
216,M43 1ZW,2022-03-07,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,46.0,,,0.0,False
217,B 81 JKY,2022-08-02,00:00,92.0,40,RUTA 9,R03,APELADA,52.0,50.0,,,0.0,False
218,57 777 70,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0,,,0.0,False
221,RFH 373,2021-11-24,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,72.0,,,0.0,False
222,X IIUME,2023-06-25,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,23.0,20.0,,,0.0,False
227,CD 056 01,1932-01-01,14:07,109.0,80,AV LIBERTADOR,,IMPAGA,29.0,25.0,,,0.0,False
228,CT5 B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/39c193bcc0c00f9e_patente.jpg,CTB876,0.9231,True
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,41.0,,,0.0,False
231,AI7 OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/747b0f12f54703ee_patente.jpg,AI7OVF,1.0,True
233,N HZ 1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,68.0,66.0,,,0.0,False
236,831 MDB,2020-09-05,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0,,,0.0,False
240,W326 AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,16.0,,,0.0,False
241,CT5 B876,2022-06-04,18:11,65.0,40,RUTA 9,R03,ERROR,25.0,23.0,,,0.0,False
243,N HZ 1002,2021-03-15,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,76.0,74.0,,,0.0,False
247,GN64 OTP,2022-01-18,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,,,0.0,False
248,VY 90 540,2020-08-30,18:11,123.0,60,AV LIBERTADOR,,ERROR,63.0,60.0,,,0.0,False
249,66 111 72,2020-04-13,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,15.0,,,0.0,False
256,X IIUME,2020-04-30,00:00,125.0,80,AV SIEMPRE VIVA,R03,ERROR,45.0,41.0,,,0.0,False
257,BM -351,2023-03-31,14:08,78.0,40,AV SIEMPRE VIVA,R02,ERROR,38.0,36.0,,,0.0,False
259,HAMSTUR,2021-09-30,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,57.0,,,0.0,False
262,BHRP 770,2020-03-29,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,31.0,,,0.0,False
263,990 XYK,2020-11-03,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,35.0,,,0.0,False
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA,8.0,5.0,,,0.0,False
275,WE FLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,55.0,,,0.0,False
285,41 RS TZ,2022-02-03,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,73.0,69.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/86c92b0402fec141_patente.jpg,B41RSTZ,0.9231,True
288,GCP332,2023-05-31,08:11,91.0,80,RUTA 9,,IMPAGA,11.0,7.0,,,0.0,False
294,810 TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,40.0,,,0.0,False
297,GOOGLE,2022-07-22,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,28.0,25.0,,,0.0,False
298,VY 90 540,2021-09-18,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,,,0.0,False
301,J1S1,1932-01-01,09:13,121.0,80,AV SIEMPRE VIVA,,PAGADA,41.0,37.0,,,0.0,False
302,GN64 OTP,2021-11-08,18:14,157.0,80,RUTA 9,R03,ERROR,77.0,73.0,,,0.0,False
303,CBM UK,1932-01-01,14:10,99.0,60,AV LIBERTADOR,R01,APELADA,39.0,36.0,,,0.0,False
306,X IIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,49.0,,,0.0,False
308,FD 1475,2022-09-13,08:12,153.0,80,RUTA 9,,ERROR,73.0,69.0,,,0.0,False
309,VTII AHV,2022-07-03,14:10,124.0,60,RUTA 9,R02,ERROR,64.0,61.0,,,0.0,False
311,CBM UK,2023-04-02,09:13,120.0,40,RUTA 9,R01,PAGADA,80.0,78.0,,,0.0,False
315,M PX 9357,2020-02-10,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,41.0,,,0.0,False
317,GN64 OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,8.0,4.0,,,0.0,False
319,WU 341 A,1932-01-01,09:14,73.0,40,AV LIBERTADOR,R02,IMPAGA,33.0,31.0,,,0.0,False
320,OUTSTDN,2020-12-18,08:12,120.0,60,RUTA 9,,ERROR,60.0,57.0,,,0.0,False
322,UW3932,2021-07-12,08:13,100.0,80,AV SIEMPRE VIVA,R02,ERROR,20.0,16.0,,,0.0,False
324,HAMSTUR,1932-01-01,09:14,96.0,80,AV LIBERTADOR,R03,PAGADA,16.0,12.0,,,0.0,False
325,99 998 68,2022-12-21,00:00,159.0,80,RUTA 9,R02,ERROR,79.0,75.0,,,0.0,False
327,J1S1,2020-02-28,00:00,93.0,40,AV LIBERTADOR,R01,ERROR,53.0,51.0,,,0.0,False
328,GN64 OTP,1932-01-01,14:11,156.0,80,AV SIEMPRE VIVA,R02,PAGADA,76.0,72.0,,,0.0,False
329,UM 96 201,2021-11-17,18:15,133.0,60,RUTA 9,R03,APELADA,73.0,70.0,,,0.0,False
332,HK 06 YMX,2023-10-09,00:00,151.0,80,AV SIEMPRE VIVA,,PAGADA,71.0,67.0,,,0.0,False
334,810 TCH,2023-08-21,00:00,64.0,40,AV LIBERTADOR,,IMPAGA,24.0,22.0,,,0.0,False
340,T0Y DR,2021-10-25,18:15,105.0,40,AV LIBERTADOR,R03,APELADA,65.0,63.0,,,0.0,False
342,66 111 72,2023-12-03,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,39.0,37.0,,,0.0,False
353,FVIO UHP,2023-02-22,14:12,127.0,80,AV LIBERTADOR,,PAGADA,47.0,43.0,,,0.0,False
354,HF 58 HXP,2020-12-25,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,25.0,21.0,,,0.0,False
356,MX60 NZA,2022-09-11,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,4.0,,,0.0,False
364,HK 06 YMX,1932-01-01,14:12,90.0,40,AV LIBERTADOR,R02,PAGADA,50.0,48.0,,,0.0,False
371,8B90638,2023-10-10,18:17,90.0,40,RUTA 9,R01,IMPAGA,50.0,48.0,,,0.0,False
380,691 XC 80,2023-09-29,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,19.0,,,0.0,False
382,589222,1932-01-01,08:14,135.0,80,AV SIEMPRE VIVA,R01,IMPAGA,55.0,51.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/246a0e4264a39433_patente.jpg,589222,1.0,True
383,0695 DVH,2023-12-16,18:17,63.0,40,AV LIBERTADOR,R01,ERROR,23.0,21.0,,,0.0,False
387,MX60 NZA,2022-11-11,00:00,125.0,60,AV SIEMPRE VIVA,R02,IMPAGA,65.0,62.0,,,0.0,False
388,81-ZF-JD,2020-11-21,09:18,119.0,40,AV LIBERTADOR,R03,ERROR,79.0,77.0,,,0.0,False
389,GE 1466,2023-02-18,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,32.0,28.0,,,0.0,False
392,J1S1,1932-01-01,18:18,134.0,60,RUTA 9,,PAGADA,74.0,71.0,,,0.0,False
394,GLEN1E,2023-05-05,09:19,133.0,80,AV SIEMPRE VIVA,R02,ERROR,53.0,49.0,,,0.0,False
396,41 RS TZ,2022-11-16,14:13,90.0,80,AV LIBERTADOR,,ERROR,10.0,6.0,,,0.0,False
397,HF 3461,2020-07-01,00:00,94.0,80,RUTA 9,R02,APELADA,14.0,10.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/a6e3b0b73220cd32_patente.jpg,THF3461,0.9231,True
399,810 TCH,1932-01-01,09:19,69.0,40,AV SIEMPRE VIVA,R03,IMPAGA,29.0,27.0,,,0.0,False
400,BM -351,2021-01-28,00:00,94.0,60,RUTA 9,,ERROR,34.0,31.0,,,0.0,False
402,YLO8 WUE,1932-01-01,09:19,119.0,60,RUTA 9,R02,APELADA,59.0,56.0,,,0.0,False
404,PIW 4215,1932-01-01,18:18,49.0,40,AV SIEMPRE VIVA,R03,PAGADA,9.0,7.0,,,0.0,False
405,HF 58 HXP,1932-01-01,09:19,118.0,80,AV SIEMPRE VIVA,,ERROR,38.0,34.0,,,0.0,False
406,WU08 YWC,1932-01-01,09:20,155.0,80,AV LIBERTADOR,R02,PAGADA,75.0,71.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/2c09fab0221652c5_patente.jpg,WUO08YWL,0.8,True
407,6EVY261,2022-06-20,08:15,115.0,60,RUTA 9,R01,PAGADA,55.0,52.0,,,0.0,False
408,M VU 4688,2022-06-15,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,51.0,49.0,,,0.0,False
410,UM 96 201,2023-01-08,00:00,98.0,60,AV SIEMPRE VIVA,R01,PAGADA,38.0,35.0,,,0.0,False
412,41 RS TZ,2022-04-20,08:15,104.0,60,AV SIEMPRE VIVA,R03,ERROR,44.0,41.0,,,0.0,False
413,CT5 B876,2021-03-23,18:19,104.0,60,AV SIEMPRE VIVA,,PAGADA,44.0,41.0,,,0.0,False
414,YLO8 WUE,2021-02-19,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,19.0,17.0,,,0.0,False
416,BX 55 DOG,1932-01-01,14:13,97.0,40,AV LIBERTADOR,R01,IMPAGA,57.0,55.0,,,0.0,False
418,WU 341 A,1932-01-01,09:20,90.0,40,AV SIEMPRE VIVA,R03,ERROR,50.0,48.0,,,0.0,False
421,X IIUME,2020-04-25,08:15,115.0,40,RUTA 9,R02,PAGADA,75.0,73.0,,,0.0,False
422,X IIUME,2024-01-17,18:19,116.0,60,AV SIEMPRE VIVA,R01,IMPAGA,56.0,53.0,,,0.0,False
424,X IIUME,2023-05-26,14:14,89.0,40,AV LIBERTADOR,R01,ERROR,49.0,47.0,,,0.0,False
428,GN64 OTP,2023-07-01,09:20,68.0,60,RUTA 9,R03,APELADA,8.0,5.0,,,0.0,False
430,FVIO UHP,2023-11-13,00:00,71.0,40,RUTA 9,,APELADA,31.0,29.0,,,0.0,False
431,X IIUME,2020-12-02,18:20,114.0,80,AV LIBERTADOR,,IMPAGA,34.0,30.0,,,0.0,False
432,6NCE831,2023-06-20,09:21,88.0,80,RUTA 9,R01,PAGADA,8.0,4.0,,,0.0,False
433,VY 90 540,1932-01-01,08:16,66.0,60,RUTA 9,R03,APELADA,6.0,3.0,,,0.0,False
434,GLEN1E,2021-11-24,18:20,70.0,60,AV SIEMPRE VIVA,,ERROR,10.0,7.0,,,0.0,False
435,T0Y DR,2021-10-11,00:00,91.0,60,RUTA 9,R01,PAGADA,31.0,28.0,,,0.0,False
437,WU08 YWC,1932-01-01,09:21,53.0,40,RUTA 9,R01,ERROR,13.0,11.0,,,0.0,False
441,691 XC 80,2021-08-13,18:21,117.0,60,AV SIEMPRE VIVA,R01,ERROR,57.0,54.0,,,0.0,False
444,3646 HBH,2022-01-18,00:00,74.0,60,AV LIBERTADOR,R02,PAGADA,14.0,11.0,,,0.0,False
445,HAMSTUR,1932-01-01,09:21,72.0,40,AV SIEMPRE VIVA,,ERROR,32.0,30.0,,,0.0,False
449,CD 056 01,2023-09-23,09:21,99.0,80,AV LIBERTADOR,R02,IMPAGA,19.0,15.0,,,0.0,False
451,6NCE831,2020-06-21,00:00,160.0,80,AV LIBERTADOR,,APELADA,80.0,76.0,,,0.0,False
452,OUTSTDN,2023-07-17,14:14,122.0,80,AV LIBERTADOR,,APELADA,42.0,38.0,,,0.0,False
455,HK 06 YMX,2020-05-14,09:22,82.0,40,AV SIEMPRE VIVA,,ERROR,42.0,40.0,,,0.0,False
456,X IIUME,2020-05-05,18:21,116.0,80,AV LIBERTADOR,R02,IMPAGA,36.0,32.0,,,0.0,False
460,81-ZF-JD,2021-06-29,18:21,95.0,60,RUTA 9,R02,ERROR,35.0,32.0,,,0.0,False
461,M20 CPR,1932-01-01,08:16,125.0,80,AV SIEMPRE VIVA,R01,ERROR,45.0,41.0,,,0.0,False
464,T0Y DR,2022-11-30,18:21,98.0,40,AV LIBERTADOR,,APELADA,58.0,56.0,,,0.0,False
467,OUTSTDN,2022-02-14,00:00,146.0,80,AV SIEMPRE VIVA,R01,PAGADA,66.0,62.0,,,0.0,False
469,NTHG LFT,2021-04-23,00:00,115.0,80,AV LIBERTADOR,,PAGADA,35.0,31.0,,,0.0,False
471,B 81 JKY,2020-01-11,00:00,84.0,60,AV SIEMPRE VIVA,R03,PAGADA,24.0,21.0,,,0.0,False
472,YLO8 WUE,2020-04-28,00:00,75.0,40,AV LIBERTADOR,R02,PAGADA,35.0,33.0,,,0.0,False
473,29 999 61,2021-03-29,18:22,99.0,60,AV SIEMPRE VIVA,R03,IMPAGA,39.0,36.0,,,0.0,False
476,6NCE831,1932-01-01,00:00,106.0,60,AV SIEMPRE VIVA,R03,PAGADA,46.0,43.0,,,0.0,False
479,PIW 4215,2022-11-03,18:22,94.0,80,AV LIBERTADOR,R01,PAGADA,14.0,10.0,,,0.0,False
481,831 MDB,2020-01-06,09:23,93.0,80,RUTA 9,R03,IMPAGA,13.0,9.0,,,0.0,False
482,691 XC 80,1932-01-01,18:23,106.0,40,RUTA 9,R03,ERROR,66.0,64.0,,,0.0,False
484,UM 96 201,2023-04-14,08:17,77.0,40,AV SIEMPRE VIVA,R02,IMPAGA,37.0,35.0,,,0.0,False
486,691 XC 80,2020-05-20,18:23,92.0,60,AV SIEMPRE VIVA,R01,ERROR,32.0,29.0,,,0.0,False
487,N HZ 1002,2024-02-06,18:23,93.0,80,AV LIBERTADOR,R01,ERROR,13.0,9.0,,,0.0,False
488,66 111 72,2020-03-31,14:15,100.0,60,AV LIBERTADOR,R03,PAGADA,40.0,37.0,,,0.0,False
490,81-ZF-JD,2020-04-10,09:23,62.0,40,AV SIEMPRE VIVA,R03,IMPAGA,22.0,20.0,,,0.0,False
491,BX 55 DOG,2023-09-07,09:23,61.0,40,RUTA 9,,PAGADA,21.0,19.0,,,0.0,False
